Feed ID,Dataset ID,Service Date Range Start,Service Date Range End
tfs-410,anaheim-resort-transportation/410/20151211,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20151209,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20151127,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20151111,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20151102,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20151018,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20151017,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20151005,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20150909,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20150803,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20150730,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20150715,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20150714,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20150626,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20150623,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20150611-2,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20150611,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20150527,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20150515,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20150417,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20150406,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20150331,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20150323,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20150314-2,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20150314,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20150309,20150101,20170101
tfs-410,anaheim-resort-transportation/410/20150206,20150207,20160226
tfs-410,anaheim-resort-transportation/410/20150128,20150112,20150210
tfs-506,foothill-transit/506/20210901-9,20210801,20211023
tfs-506,foothill-transit/506/20210901-8,20210801,20211023
tfs-506,foothill-transit/506/20210901-7,20210801,20211023
tfs-506,foothill-transit/506/20210901-6,20210801,20211023
tfs-506,foothill-transit/506/20210901-5,20210801,20211023
tfs-506,foothill-transit/506/20210901-4,20210801,20211023
tfs-506,foothill-transit/506/20210901-3,20210801,20211023
tfs-506,foothill-transit/506/20210901-2,20210801,20211023
tfs-506,foothill-transit/506/20210901,20210801,20211023
tfs-506,foothill-transit/506/20210502,20210502,20211211
tfs-506,foothill-transit/506/20210217-4,20210110,20210417
tfs-506,foothill-transit/506/20210217-3,20210110,20210417
tfs-506,foothill-transit/506/20210217-2,20210110,20210417
tfs-506,foothill-transit/506/20210217,20210110,20210417
tfs-506,foothill-transit/506/20201018,20201018,20210626
tfs-506,foothill-transit/506/20200301,20200301,20201031
tfs-506,foothill-transit/506/20190929,20190929,20200425
tfs-506,foothill-transit/506/20190705,20190616,20190928
tfs-506,foothill-transit/506/20190419,20190331,20190928
tfs-506,foothill-transit/506/20190404,20190331,20190928
tfs-506,foothill-transit/506/20190306,20190331,20190928
tfs-506,foothill-transit/506/20190217,20190210,20190928
tfs-506,foothill-transit/506/20180725,20180703,20190202
tfs-506,foothill-transit/506/20180712,20180624,20190202
tfs-506,foothill-transit/506/20170707,20170702,20171029
tfs-506,foothill-transit/506/20170523,20170423,20170701
tfs-506,foothill-transit/506/20161130,20161030,20170701
tfs-506,foothill-transit/506/20160628,20160626,20161124
tfs-506,foothill-transit/506/20160516,20160131,20160828
tfs-506,foothill-transit/506/20160426,20160131,20160828
tfs-506,foothill-transit/506/20150831,20150712,20160131
tfs-506,foothill-transit/506/20150422,20150111,20150627
tfs-789,koleje-mazowieckie/789/20210717,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210716,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210715,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210714,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210713,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210712,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210710,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210709,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210708-2,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210708,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210707,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210706,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210705,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210704,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210703,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210701,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210630,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210629-2,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210629,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210628,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210627,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210626,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210625,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210624,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210622,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210621,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210620-2,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210620,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210619,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210618,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210617,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210616,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210615,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210613,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210612,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210611-2,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210611,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210610,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210609,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210608,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210607,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210606,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210604,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210315,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210217-3,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210217-2,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210217,20201213,20211211
tfs-789,koleje-mazowieckie/789/20210129,20201213,20211211
tfs-789,koleje-mazowieckie/789/20201209,20201213,20211211
tfs-789,koleje-mazowieckie/789/20201205,20191215,20201212
